device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp
8021817452,606745461184,"(0.03779507800936699, 0.1226373016834259)","(-169.9139862060547, 187.3475341796875, 60.143035888671875)",1,3.9789581298828125,1,"(-13.155512809753418, -112.49359893798828, 843.0219116210938)","(0.518646776676178, 0.7331586480140686, 0.9011922478675842)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619288,0.03779507800936699,0.1226373016834259
8021828555,606745472292,"(0.0422968864440918, 0.1533748209476471)","(-168.259033203125, 181.374755859375, 57.96918869018555)",1,3.9646759033203125,1,"(-13.783656120300293, -113.58633422851562, 845.829345703125)","(0.5196403861045837, 0.7347556352615356, 0.9070666432380676)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619299,0.0422968864440918,0.1533748209476471
8021839658,606745483398,"(0.038456324487924576, 0.14917123317718506)","(-169.6708984375, 182.19158935546875, 58.2664680480957)",1,3.935394287109375,1,"(-14.06496810913086, -113.4278793334961, 844.1708374023438)","(0.5201608538627625, 0.7348935604095459, 0.9037466049194336)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619309,0.038456324487924576,0.14917123317718506
8021850761,606745494500,"(0.040613189339637756, 0.15993833541870117)","(-168.87799072265625, 180.09939575195312, 57.50497817993164)",1,3.9516143798828125,1,"(-14.812185287475586, -113.7090835571289, 847.3751831054688)","(0.5213231444358826, 0.7345452308654785, 0.910197377204895)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619321,0.040613189339637756,0.15993833541870117
8021861864,606745505603,"(0.029883256182074547, 0.14113032817840576)","(-172.82254028320312, 183.75404357910156, 58.83516311645508)",1,3.946807861328125,1,"(-15.156888008117676, -113.9082260131836, 849.2857055664062)","(0.521843671798706, 0.7344111800193787, 0.914048969745636)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619332,0.029883256182074547,0.14113032817840576
8021872967,606745516706,"(0.041827116161584854, 0.1562623828649521)","(-168.43173217773438, 180.8136749267578, 57.764957427978516)",1,3.9596099853515625,1,"(-15.394842147827148, -113.74671936035156, 847.674072265625)","(0.5222920179367065, 0.7345278263092041, 0.9108204245567322)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619343,0.041827116161584854,0.1562623828649521
8021884071,606745527809,"(0.044707559049129486, 0.1475522816181183)","(-167.37283325195312, 182.5061798095703, 58.3809814453125)",1,3.9155731201171875,1,"(-16.067949295043945, -113.90512084960938, 850.2271728515625)","(0.5233376622200012, 0.734104335308075, 0.9159473776817322)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619355,0.044707559049129486,0.1475522816181183
8021895174,606745538912,"(0.04009389877319336, 0.14828653633594513)","(-169.06887817382812, 182.36354064941406, 58.328956604003906)",1,3.9189910888671875,1,"(-16.3853759765625, -114.00110626220703, 851.6806640625)","(0.5238204002380371, 0.7338787317276001, 0.9188656210899353)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619366,0.04009389877319336,0.14828653633594513
8021906277,606745550018,"(0.031696874648332596, 0.13582126796245575)","(-172.15579223632812, 184.7857208251953, 59.2105712890625)",1,3.916656494140625,1,"(-16.59896469116211, -113.83753204345703, 849.9373779296875)","(0.5242350101470947, 0.734029233455658, 0.9153752326965332)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619399,0.031696874648332596,0.13582126796245575
8021917380,606745561124,"(0.028291204944252968, 0.13125145435333252)","(-173.40777587890625, 185.6737060546875, 59.53376770019531)",1,3.911407470703125,1,"(-17.206951141357422, -113.93873596191406, 851.6219482421875)","(0.5251935720443726, 0.733740508556366, 0.9187647700309753)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619400,0.028291204944252968,0.13125145435333252
