gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
-916349.131365,1181,0.391987631507605,0.5463843740187404,0.31748947410308925,-916349.131365-1,59.278060454240915,84.08652231660932,702.7273907464102,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.06104011177043309,0.9604784006515094,-0.271579356058172
-916349.116058,1182,0.3703031677229797,0.39712035163852344,0.4823085266269248,-916349.116058-1,-89.83828348168873,-17.765221075851173,565.4718412126404,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.3592727996422923,0.7567749138665884,-0.5460904551257115
-916349.1023040001,1182,0.36961767992177436,0.3969759868592769,0.4692922093727826,-916349.1023040001-1,-91.62736727237325,-11.209160859955773,576.0227212153536,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.36285096722366134,0.7698870342983791,-0.524988695120285
-916349.0869,1182,0.39301473622391875,0.3101464761288152,0.7612733747513339,-916349.0869-1,-155.32459991885554,-148.53970574173042,479.9049246154817,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.490245432516626,0.49522594453483,-0.7172242883200286
-916349.075316,1183,0.2964194441072462,0.2947200048043278,0.9343083150077595,-916349.075316-1,-168.2583548789967,-230.5148748637859,443.5854597196264,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.5161129424369082,0.33127560629071884,-0.7898632181117393
-916349.064864,1183,0.10963959702018729,0.33577244386270366,1.2038698474941838,-916349.064864-1,-144.33717386688517,-386.72917440126366,396.82502282068845,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.46827058041268516,0.018847007215763403,-0.8833840919096155
-916349.054011,1183,0.9480933894248481,0.5885031794260109,0.30992562367984655,-916349.054011-1,118.56546540880692,98.17017231392299,769.1098697540729,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,0.057534698138698964,0.9886457006461368,-0.13881439804284665
-916349.045541,1183,0.0,0.47363246200731995,0.34420160507076847,-916349.045541-1,-30.439838602275543,85.17091202979185,899.3466864229115,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,-0.2406080124890184,0.9629654698159907,0.12167698331300096
-916349.035484,1184,0.99,0.5844310333460988,0.3097035485974149,-916349.035484-1,114.83644340428108,99.54982435118791,779.367580547257,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,0.04994455152409482,0.9917232944587827,-0.11828122843830778
-916349.027464,1184,0.41254745264134046,0.5294885979006192,0.3139845137281405,-916349.027464-1,41.5616448718485,89.80512235267116,731.9381152252043,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,-0.09660504554077029,0.9722338904617494,-0.21314015908241338
-916349.01043,1184,0.4629250431477768,0.3881620766153134,0.4846876401700304,-916349.01043-1,-99.12243321851008,-19.199012083103185,570.0496455836353,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,-0.3779732017214875,0.7542256215902006,-0.5369170983655515
-916348.997774,1184,0.46796717211532035,0.3851864685546361,0.48630131276161725,-916348.997774-1,-102.1393356341953,-20.093796767416336,570.9364257793195,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,-0.38400700655285785,0.7524360522215743,-0.5351435379741827
-916348.983017,1185,0.99,0.6121435123732348,0.31481862814007133,-916348.983017-1,150.01716474949095,95.72747255032715,773.0945211712869,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,0.12030599421451457,0.9840785908570613,-0.13082734719024802
-916348.975765,1185,0.533389010288022,0.5326504880661921,0.314380795597051,-916348.975765-1,44.98762994897241,88.87934971097457,726.3671121686241,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,-0.08975307538652248,0.9703823451783561,-0.2242821651955738
-916348.960347,1185,0.2664242756368867,0.4616323895430178,0.3614400141874934,-916348.960347-1,-34.870491444545706,51.70404270046373,654.8698300048435,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,-0.24946931817355872,0.8960317311573343,-0.36727672952313506
-916348.947397,1186,0.8654722093210592,0.6184850651608624,0.3168854700910836,-916348.947397-1,153.29974730325847,91.37740771618144,748.3131749741488,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,0.12687115932204965,0.9753784611887697,-0.18039003958452454
-916348.939379,1186,0.795088859988202,0.6216653493039624,0.3190473594100469,-916348.939379-1,153.88821008136256,87.95967299912019,731.8215495361294,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,0.12804808487825772,0.9685429917546471,-0.21337329046056297
-916348.931624,1186,0.34792003402039334,0.33428603644971044,0.5755675841391064,-916348.931624-1,-146.92412487204268,-65.80714605211261,547.4790499642886,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,-0.47357658502855265,0.6610093536521816,-0.5820582896042447
-916348.918531,1186,0.3409836031867727,0.28758534818236065,0.7918289051196511,-916348.918531-1,-180.0753248369985,-168.40637054706136,484.68369703089235,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,-0.5398789849584643,0.4558109046622842,-0.7076489954710373
-916348.909371,1186,0.30507016935097986,0.27813074988260544,0.990002642520066,-916348.909371-1,-191.16022919318564,-269.5094839161786,444.8758088820069,,,,,,,89.86416764223368,-396.31182287820343,838.508194766411,-0.5620487936708386,0.2536046779240496,-0.7872647717688083
