device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp
1825899476,1031530086970,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-172.29779052734375, -87.1771469116211, 900.337890625)","(0.768203616142273, 0.6606870889663696, 1.0416239500045776)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401451
1825910579,1031530098080,"(1.020310878753662, 0.7185619473457336)","(191.27703857421875, 71.55056762695312, 17.996366500854492)",1,5.1691131591796875,1,"(-170.91622924804688, -87.9714584350586, 900.5059814453125)","(0.7659806609153748, 0.6623525619506836, 1.0415889024734497)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401463,1.020310878753662,0.7185619473457336
1825921682,1031530109191,"(1.020310878753662, 0.7185619473457336)","(191.27703857421875, 71.55056762695312, 17.996366500854492)",1,5.1691131591796875,1,"(-169.97080993652344, -87.64714050292969, 900.7308959960938)","(0.7644156217575073, 0.6616427302360535, 1.0416169166564941)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401474,1.020310878753662,0.7185619473457336
1825932785,1031530120297,"(1.020310878753662, 0.7185619473457336)","(191.27703857421875, 71.55056762695312, 17.996366500854492)",1,5.1691131591796875,1,"(-168.3402862548828, -88.68467712402344, 900.9349975585938)","(0.7617937326431274, 0.6638167500495911, 1.0416159629821777)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401514,1.020310878753662,0.7185619473457336
1825943888,1031530131400,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-168.2491455078125, -89.23027801513672, 900.8961791992188)","(0.7616684436798096, 0.6649745106697083, 1.0416120290756226)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401514
1825954991,1031530142503,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-168.26483154296875, -88.44318389892578, 900.9749145507812)","(0.7616596221923828, 0.6633018255233765, 1.0416200160980225)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401514
1825966094,1031530153606,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-168.2650146484375, -88.44475555419922, 900.9749755859375)","(0.7616598606109619, 0.6633051633834839, 1.0416206121444702)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401518
1825977197,1031530164708,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-165.792724609375, -88.2485122680664, 895.278564453125)","(0.7594267725944519, 0.6641011834144592, 1.029534101486206)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401531
1825988301,1031530175811,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-164.26473999023438, -87.94123077392578, 890.9226684570312)","(0.758276641368866, 0.6643750667572021, 1.020395278930664)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401541
1825999404,1031530186914,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-164.2649383544922, -87.94281005859375, 890.9227294921875)","(0.7582770586013794, 0.6643784046173096, 1.0203958749771118)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401552
