device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
8968958982,348522957398,"(0.525925874710083, 0.5619210004806519)","(9.531960487365723, 101.98822784423828, 29.074758529663086)",1,4.3301544189453125,1,"(19.17634391784668, 28.70981216430664, 820.2460327148438)","(0.46097177267074585, 0.4143471121788025, 0.841944694519043)",1,"(0.5066856741905212, 0.5935927629470825)","(2.45892333984375, 95.83390808105469, 26.834819793701172)",1,4.6629486083984375,1,"(73.32212829589844, 5.242898464202881, 816.6670532226562)","(0.36684343218803406, 0.4697510302066803, 0.8399373888969421)",1,1705937402188,0.52,0.58
8968970086,348522968502,"(0.5072143077850342, 0.5581673979759216)","(2.6532585620880127, 102.71759796142578, 29.34023666381836)",1,4.5037384033203125,1,"(18.341354370117188, 27.901920318603516, 820.3019409179688)","(0.4624359607696533, 0.4162032902240753, 0.8419623970985413)",1,"(0.48641836643218994, 0.6392385959625244)","(-4.9917192459106445, 86.96424865722656, 23.6065731048584)",1,4.7315521240234375,1,"(72.87674713134766, 4.6782684326171875, 816.7688598632812)","(0.36764487624168396, 0.47105470299720764, 0.8400539755821228)",1,1705937402203,0.5,0.6
8968981189,348522979605,"(0.5072143077850342, 0.5581673979759216)","(2.6532585620880127, 102.71759796142578, 29.34023666381836)",1,4.5037384033203125,1,"(16.77543830871582, 26.684980392456055, 820.1758422851562)","(0.4651682376861572, 0.4189765155315399, 0.8415626287460327)",1,"(0.48641836643218994, 0.6392385959625244)","(-4.9917192459106445, 86.96424865722656, 23.6065731048584)",1,4.7315521240234375,1,"(71.64010620117188, 3.7230384349823, 816.7546997070312)","(0.3698135316371918, 0.47324755787849426, 0.839798092842102)",1,1705937402210,0.5,0.6
8968992292,348522990708,"(0.5072143077850342, 0.5581673979759216)","(2.6532585620880127, 102.71759796142578, 29.34023666381836)",1,4.5037384033203125,1,"(16.13023567199707, 25.84225082397461, 820.3046875)","(0.4663059711456299, 0.4209224581718445, 0.8417402505874634)",1,"(0.48641836643218994, 0.6392385959625244)","(-4.9917192459106445, 86.96424865722656, 23.6065731048584)",1,4.7315521240234375,1,"(71.38275909423828, 3.1907312870025635, 816.9188232421875)","(0.37029585242271423, 0.474480003118515, 0.840075671672821)",1,1705937402222,0.5,0.6
8969003395,348523001811,"(0.49056196212768555, 0.5809573531150818)","(-3.4684433937072754, 98.28913879394531, 27.72846221923828)",1,4.519378662109375,1,"(15.078012466430664, 25.497753143310547, 820.3687133789062)","(0.4681393802165985, 0.4217018187046051, 0.8418067693710327)",1,"(0.5158440470695496, 0.5983673930168152)","(5.825716972351074, 94.90612030029297, 26.497119903564453)",1,4.800811767578125,1,"(70.71659088134766, 3.0137040615081787, 817.031494140625)","(0.3714763820171356, 0.4748777449131012, 0.8401833772659302)",1,1705937402233,0.5,0.59
8969014498,348523012914,"(0.5261679887771606, 0.5541202425956726)","(9.620973587036133, 103.50405883789062, 29.626434326171875)",1,4.3480072021484375,1,"(13.578204154968262, 24.650127410888672, 820.456787109375)","(0.4707578122615814, 0.42363718152046204, 0.8418785333633423)",1,"(0.5360105633735657, 0.5651087760925293)","(13.239280700683594, 101.36878204345703, 28.849332809448242)",1,4.6580047607421875,1,"(69.40850067138672, 2.369523525238037, 817.230712890625)","(0.37379518151283264, 0.4763469696044922, 0.8403526544570923)",1,1705937402244,0.53,0.56
8969025601,348523024017,"(0.5315618515014648, 0.553096354007721)","(11.603877067565918, 103.7030029296875, 29.6988525390625)",1,4.357513427734375,1,"(12.570469856262207, 24.715410232543945, 819.6073608398438)","(0.47248199582099915, 0.4234057366847992, 0.8401525616645813)",1,"(0.5370098352432251, 0.5679605007171631)","(13.606629371643066, 100.81463623046875, 28.647655487060547)",1,4.676910400390625,1,"(68.71121978759766, 2.5347213745117188, 816.4195556640625)","(0.3748878240585327, 0.4759441018104553, 0.8386196494102478)",1,1705937402256,0.53,0.56
8969036704,348523035120,"(0.5368936061859131, 0.5495728254318237)","(13.56392765045166, 104.38766479492188, 29.948041915893555)",1,4.3585052490234375,1,"(11.777631759643555, 24.432682037353516, 820.6663818359375)","(0.4738903343677521, 0.424116313457489, 0.842228889465332)",1,"(0.5381954312324524, 0.5677102208137512)","(14.042474746704102, 100.86327362060547, 28.665380477905273)",1,4.6714019775390625,1,"(68.27851867675781, 2.304405927658081, 817.5154418945312)","(0.3758055567741394, 0.47647541761398315, 0.8407299518585205)",1,1705937402267,0.54,0.56
8969047807,348523046223,"(0.5346069931983948, 0.5478312969207764)","(12.723311424255371, 104.72606658935547, 30.071237564086914)",1,4.358245849609375,1,"(11.144560813903809, 24.17542839050293, 822.2049560546875)","(0.4750293791294098, 0.4248020648956299, 0.8452715873718262)",1,"(0.5383291840553284, 0.5738248229026794)","(14.091646194458008, 99.67514038085938, 28.232887268066406)",1,4.672607421875,1,"(67.98470306396484, 2.0850608348846436, 819.0827026367188)","(0.3765472173690796, 0.47698479890823364, 0.8438039422035217)",1,1705937402278,0.54,0.56
8969058911,348523057328,"(0.533549964427948, 0.5551685094833374)","(12.334714889526367, 103.30033874511719, 29.55229949951172)",1,4.3706512451171875,1,"(10.377609252929688, 23.844911575317383, 821.1156005859375)","(0.4763379991054535, 0.4254760444164276, 0.8430545926094055)",1,"(0.5410705804824829, 0.5830832719802856)","(15.099430084228516, 97.8760986328125, 27.57807159423828)",1,4.681732177734375,1,"(67.36005401611328, 1.855547308921814, 818.0404052734375)","(0.3774872422218323, 0.4774995744228363, 0.8416222929954529)",1,1705937402289,0.54,0.57
8969070014,348523068431,"(0.5323688387870789, 0.5580825805664062)","(11.900535583496094, 102.73406982421875, 29.346208572387695)",1,4.383575439453125,1,"(9.766914367675781, 23.57863998413086, 822.338134765625)","(0.47742658853530884, 0.4261592924594879, 0.8454681634902954)",1,"(0.5389974117279053, 0.5833978652954102)","(14.337305068969727, 97.8149642944336, 27.555803298950195)",1,4.69219970703125,1,"(67.0274887084961, 1.633091688156128, 819.2947998046875)","(0.37824809551239014, 0.4780121147632599, 0.844067394733429)",1,1705937402301,0.54,0.57
8969081117,348523079534,"(0.5176177620887756, 0.5518861413002014)","(6.477748394012451, 103.9381103515625, 29.784515380859375)",1,4.374603271484375,1,"(9.19441032409668, 23.426959991455078, 823.2092895507812)","(0.478437215089798, 0.42655426263809204, 0.847187876701355)",1,"(0.529991090297699, 0.5798760056495667)","(11.026396751403809, 98.49929809570312, 27.804920196533203)",1,4.6963348388671875,1,"(66.68208312988281, 1.5323314666748047, 820.1951293945312)","(0.3789769411087036, 0.4782404601573944, 0.8458055257797241)",1,1705937402312,0.52,0.57
8969092220,348523090637,"(0.511520504951477, 0.5444905161857605)","(4.236283302307129, 105.37521362304688, 30.307592391967773)",1,4.3536376953125,1,"(9.507112503051758, 21.923328399658203, 823.1375732421875)","(0.4779191315174103, 0.4300233721733093, 0.8469686508178711)",1,"(0.524989664554596, 0.5683282613754272)","(9.18780517578125, 100.74319458007812, 28.62162971496582)",1,4.6700286865234375,1,"(67.10086059570312, 0.1541191041469574, 820.1329345703125)","(0.37826430797576904, 0.4814381003379822, 0.8457465767860413)",1,1705937402350,0.52,0.56
