device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
3218843454,2163308522317,"(0.7876267433166504, 0.7110450863838196)","(105.73808288574219, 73.01121520996094, 18.528030395507812)",1,4.9192047119140625,1,"(-76.370361328125, 33.95457458496094, 871.5477294921875)","(0.6189250946044922, 0.4048992395401001, 0.9510920643806458)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557245,0.7876267433166504,0.7110450863838196
3218965588,2163308644453,"(0.7590187191963196, 0.7455511689186096)","(95.22120666503906, 66.30619812011719, 16.08755111694336)",1,4.995635986328125,1,"(-77.61995697021484, 33.033592224121094, 869.225341796875)","(0.6213166117668152, 0.4066837430000305, 0.9466181397438049)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557367,0.7590187191963196,0.7455511689186096
3218976691,2163308655556,"(0.762690544128418, 0.7469054460525513)","(96.571044921875, 66.04304504394531, 15.991765022277832)",1,5.003448486328125,1,"(-77.71284484863281, 32.98985290527344, 868.9677124023438)","(0.6215068697929382, 0.40675556659698486, 0.9461185336112976)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557378,0.762690544128418,0.7469054460525513
3218987794,2163308666659,"(0.7617626190185547, 0.7428447604179382)","(96.22992706298828, 66.83206939697266, 16.27895736694336)",1,5.013763427734375,1,"(-77.77153778076172, 32.954750061035156, 868.8630981445312)","(0.6216188669204712, 0.40682223439216614, 0.945918083190918)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557389,0.7617626190185547,0.7428447604179382
3218998897,2163308677762,"(0.758699893951416, 0.7522936463356018)","(95.1040267944336, 64.99600982666016, 15.610684394836426)",1,5.0237579345703125,1,"(-77.84300231933594, 32.935264587402344, 868.7986450195312)","(0.6217455863952637, 0.4068579077720642, 0.9458011388778687)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557400,0.758699893951416,0.7522936463356018
3219010000,2163308688866,"(0.7580590844154358, 0.7522209882736206)","(94.8684310913086, 65.01013946533203, 15.615821838378906)",1,5.018402099609375,1,"(-77.94037628173828, 32.90079116821289, 868.7446899414062)","(0.6219135522842407, 0.4069267213344574, 0.9457083940505981)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557411,0.7580590844154358,0.7522209882736206
3219021104,2163308699970,"(0.7619200944900513, 0.7544796466827393)","(96.2878189086914, 64.57123565673828, 15.456070899963379)",1,5.0266265869140625,1,"(-78.04524993896484, 32.851295471191406, 868.5366821289062)","(0.6221166253089905, 0.40701520442962646, 0.9453093409538269)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557422,0.7619200944900513,0.7544796466827393
3219032207,2163308711073,"(0.7633489966392517, 0.7532078623771667)","(96.81312561035156, 64.81836700439453, 15.546053886413574)",1,5.0270538330078125,1,"(-78.13363647460938, 32.829071044921875, 868.2927856445312)","(0.6222975850105286, 0.40704137086868286, 0.9448381066322327)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557434,0.7633489966392517,0.7532078623771667
3219043310,2163308722176,"(0.7607970237731934, 0.7547297477722168)","(95.87496185302734, 64.52263641357422, 15.4384183883667)",1,5.0009613037109375,1,"(-78.13899230957031, 32.822898864746094, 868.2922973632812)","(0.6223065257072449, 0.40705472230911255, 0.9448375105857849)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557473,0.7607970237731934,0.7547297477722168
3219054413,2163308733279,"(0.7548160552978516, 0.7595914006233215)","(93.67626190185547, 63.57794189453125, 15.094569206237793)",1,5.01031494140625,1,"(-78.32324981689453, 32.69778823852539, 868.324951171875)","(0.6226056218147278, 0.4073273241519928, 0.9449262619018555)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557475,0.7548160552978516,0.7595914006233215
3219065516,2163308744380,"(0.7555150985717773, 0.759940505027771)","(93.93324279785156, 63.51009750366211, 15.069914817810059)",1,5.01922607421875,1,"(-78.20553588867188, 32.585426330566406, 867.7042846679688)","(0.6225056052207947, 0.4075232446193695, 0.9436612725257874)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557475,0.7555150985717773,0.759940505027771
